EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
ANN283101,01,1983,2.0,AAJ,"Schauer, Robert",,,,,58:252-253 (1984),,
ANN283301,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:253 (1984),,
ANN283302,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:253 (1984),,
ANN283401,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:253 (1984),,
ANN483101,01,1983,2.0,AAJ,"Yamano, Yasumitsu",,,,,58:253-254 (1984),,
ANN483301,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:254 (1984),,
ANN383301,01,1983,2.0,AAJ,"Kekus, Nikola",,,,,58:254-255 (1984),,
GANG83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:255 (1984),,
ANN383302,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:255 (1984),,
GANG83301,01,1983,2.0,AAJ,"Sinclair, Charles K.",,,,,58:255 (1984),,
GANG83302,01,1983,2.0,AAJ,"Belak, Stane",,,,,58:257 (1984),,
GLAC83301,01,1983,2.0,AAJ,,,,,,58:257-258 (1984),,
GLAC83302,01,1983,2.0,AAJ,"Oelz, Oswald",,,,,58:258 (1984),,
ANN183303,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:258 (1984),,
